Year,Category,Title,Winners
2013,"Best Latin Rock, Urban or Alternative Album",Treinta Días,"La Santa Cecilia (Alex Bendana, Jose ""Pepe"" Carlos, La Marisoul & Miguel ""Oso"" Ramirez), artists. Sebastian Krys, producer. Sebastian Krys, engineer/mixer."
2013,Best Regional Mexican Music Album (Including Tejano),A Mi Manera,"Mariachi Divas De Cindy Shea (Angel Garcia, Alberto Jimenez Maeda, Stephanie Martinez, Ariana Mejia, Rosalie Rodriguez, Melinda Salcido, Cindy Shea, Susan Winsberg & Karina Zurita), artists. Salvador ""Chava"" Sandoval, engineer/mixer."
2013,Best Tropical Latin Album,Pacific Mambo Orchestra,"Pacific Mambo Orchestra (Steffen Kuehn & Christian Tumalan), artists."
2013,Best American Roots Song,Love Has Come For You,"Edie Brickell & Steve Martin, songwriters."
2013,Best Americana Album,Old Yellow Moon,"Rodney Crowell & Emmylou Harris, artists. Brian Ahern, producer. Donivan Cowart, engineer/mixer."
2013,Best Bluegrass Album,The Streets Of Baltimore,"Del McCoury Band (Alan Bartram, Jason Carter, Del McCoury, Rob McCoury & Ronnie McCoury), artists. David Ferguson, engineer/mixer."
2013,Best Blues Album,Get Up!,"Ben Harper & Charlie Musselwhite, artists. Chris Goldsmith, Sheldon Gomberg,Ben Harper, Jesse Ingalls, Jason Mozersky & Jordan Richardson, producers. Sheldon Gomberg, Jason Gossman, Bill Mims & Erich Talaba, engineers/mixers."
2013,Best Folk Album,My Favorite Picture Of You,"Guy Clark, artist. Shawn Camp, Guy Clark & Chris Latham, producers. Chris Latham, engineer/mixer."
2013,Best Regional Roots Music Album,Dockside Sessions,"Terrance Simien & The Zydeco Experience (Jose Alvarez, Stan Chambers, Terrance Simien, Keith Sonnier & Danny Williams), artists. George G. Receli, producer. David Farrell & George G. Receli, engineers/mixers."
2013,Best Reggae Album,Ziggy Marley In Concert,"Ziggy Marley, artist. Ziggy Marley, producer. Errol Brown & Fabian Cooke, engineers/mixers."
2013,Best World Music Album,Savor Flamenco,"Gipsy Kings (Diego Baliardo, Paco Baliardo, Tonnino Baliardo, Andre Reyes, Canut Reyes, Nicolas Reyes, Patchai Reyes & Paul Reyes), artists. René Ameline & James Farber, engineers/mixers."
