Year,Category,Title,Winners
2013,Best World Music Album,Live: Singing For Peace Around The World,"Ladysmith Black Mambazo (Mfanafuthi Dlamini, Abednego Mazibuko, Albert Mazibuko, Russel Mthembu, Joseph Shabalala, Msizi Shabalala, Sibongiseni Shabalala, Thamsanqa Shabalala & Thulani Shabalala), artists. Mitch Goldstein, producer. Jon Picciano, engineer/mixer."
2013,Best Children's Album,Throw A Penny In The Wishing Well,"Jennifer Gasoi, artist. Jennifer Gasoi, producer. Pierre Messier, engineer/mixer."
2013,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",America Again: Re-becoming The Greatness We Never Weren't,"Stephen Colbert, artist. Aaron Cohen & Michele McGonigle, producers. Christine M. Farrell & Todd Kilponen, engineers/mixers."
2013,Best Comedy Album,Calm Down Gurrl,"Kathy Griffin, artist. Don Worsham, engineer/mixer."
2013,Best Musical Theater Album,Kinky Boots,"Billy Porter & Stark Sands, principal soloists. Cyndi Lauper, composer & lyricist. Sammy James, Jr., Cyndi Lauper, Stephen Oremus & William Wittman, producers. Derik Lee & William Wittman, engineers/mixers."
2013,Best Compilation Soundtrack For Visual Media,Sound City: Real To Reel,"Dave Grohl, artist. Butch Vig, compilation producer. James Brown, engineer/mixer."
2013,Best Score Soundtrack For Visual Media,Skyfall,"Thomas Newman, composer. Bill Bernstein & Thomas Newman, producers. Simon Rhodes, engineer/mixer."
2013,Best Song Written For Visual Media,Skyfall,"Adele Adkins & Paul Epworth, songwriters."
2013,Best Instrumental Composition,Pensamientos For Solo Alto Saxophone And Chamber Orchestra,"Clare Fischer, composer."
2013,Best Instrumental Arrangement,On Green Dolphin Street,"Gordon Goodwin, arranger."
2013,Best Instrumental Arrangement Accompanying Vocalist(s),Swing Low,"Gil Goldstein, arranger."
2013,Best Recording Package,Long Night Moon,"Sarah Dodds & Shauna Dodds, art directors."
2013,Best Boxed Or Special Limited Edition Package,Wings Over America (Deluxe Edition),"Simon Earith & James Musgrave, art directors."
2013,Best Album Notes,Afro Blue Impressions (Remastered & Expanded),"Neil Tesser, album notes writer."
2013,Best Historical Album,Charlie Is My Darling - Ireland 1965,"Teri Landi, Andrew Loog Oldham & Steve Rosenthal, compilation producers. Bob Ludwig, mastering engineer."
2013,Best Historical Album,The Complete Sussex And Columbia Albums,"Leo Sacks, compilation producer. Joseph M. Palmaccio, Tom Ruff & Mark Wilder, mastering engineers."
2013,"Best Engineered Album, Non-Classical",Random Access Memories,"Peter Franco, Mick Guzauski, Florian Lagatta & Daniel Lerner, engineers. Antoine Chabert & Bob Ludwig, mastering engineers."
2013,"Producer Of The Year, Non-Classical",,"Pharrell Williams, producer."
2013,"Best Remixed Recording, Non-Classical",Summertime Sadness (Cedric Gervais Remix),"Cedric Gervais, remixer."
2013,Best Surround Sound Album,Live Kisses,"Al Schmitt, surround mix engineer. Tommy LiPuma, surround producer."
2013,"Best Engineered Album, Classical",Winter Morning Walks,"David Frost, Brian Losch & Tim Martyn, engineers. Tim Martyn, mastering engineer."
2013,"Producer Of The Year, Classical",,"David Frost, producer."
2013,Best Orchestral Performance,Sibelius: Symphonies Nos. 1 & 4,"Osmo Vänskä, conductor. Robert Suff, producer. Jens Braun, engineer."
2013,Best Opera Recording,Adès: The Tempest,"Thomas Adès, conductor. Jay David Saks, producer. Simon Keenlyside, Isabel Leonard, Audrey Luna & Alan Oke, soloists."
2013,Best Choral Performance,Pärt: Adam's Lament,"Tõnu Kaljuste, conductor. Manfred Eicher, producer. Peter Laenger & Stephan Schellmann, engineers."
2013,Best Chamber Music/Small Ensemble Performance,Roomful Of Teeth,"Jesse Lewis, producer. Brad Wells, conductor. Roomful Of Teeth (Cameron Beauchamp, Dashon Burton, Martha Cluver, Eric Dudley, Estelí Gomez, Avery Griffin, Caroline Shaw & Virginia Warnken), ensemble. Mark Donahue & Jesse Lewis, engineers."
2013,Best Classical Instrumental Solo,Corigliano: Conjurer - Concerto For Percussionist & String Orchestra,"Evelyn Glennie, soloist. David Alan Miller, conductor. Silas Brown & John Corigliano, producers. Silas Brown & John Corigliano, engineers."
2013,Best Classical Vocal Solo,Winter Morning Walks,"Dawn Upshaw, soloist. David Frost, producer. David Frost, Brian Losch & Tim Martyn, engineers."
2013,Best Classical Compendium,Hindemith: Violinkonzert; Symphonic Metamorphosis; Konzertmusik,"Christoph Eschenbach, conductor. Dominik Blech & Björn Brigsne, engineers."
2013,Best Contemporary Classical Composition,"Schneider, Maria: Winter Morning Walks","Maria Schneider, composer."
2013,Best Music Video,Suit & Tie,"Jay Z & Justin Timberlake, artists. David Fincher, video director. Timory King, video producer."
2013,Best Music Film,Live Kisses,"Paul McCartney, artist. Jonas Åkerlund, video director. Violaine Etienne, Aron Levine & Scott Rodger, video producers."
2012,Record Of The Year,Somebody That I Used To Know,"Gotye & Kimbra, artists. Gotye & Francois Tetaz, engineers/mixers. William Bowden, mastering engineer. Gotye, producer."
2012,Album Of The Year,Babel,"Mumford & Sons (Ted Dwane, Ben Lovett, Marcus Mumford, Winston Marshall), artist. Robin Baynton, Ruadhri Cushnan & Matt Lawrence, engineers/mixers Bob Ludwig, mastering engineer. Markus Dravs, producer."
2012,Song Of The Year,We Are Young,"Jack Antonoff, Jeff Bhasker, Andrew Dost & Nate Ruess, songwriters."
2012,Best New Artist,,"Fun. (Jack Antonoff, Andrew Dost, Nate Ruess), artist."
2012,Best Pop Solo Performance,Set Fire To The Rain [Live],"Adele, artist."
2012,Best Pop Duo/Group Performance,Somebody That I Used To Know,"Gotye & Kimbra, artists."
2012,Best Pop Instrumental Album,Impressions,"Chris Botti, artist. Allen M. Sides, engineer/mixer. Bobby Colomby, producer."
2012,Best Pop Vocal Album,Stronger,"Kelly Clarkson, artist. Serban Ghenea & John Hanes, engineers/mixers."
2012,Best Dance Recording,Bangarang,"Sirah Mitchell & Skrillex, artists.Skrillex, mixer. Skrillex, producer."
2012,Best Dance/Electronica Album,Bangarang,"Skrillex, artist. Skrillex, engineer/mixer. Skrillex, producer."
2012,Best Traditional Pop Vocal Album,Kisses On The Bottom,"Paul McCartney, artist. Al Schmitt, engineer/mixer. Tommy LiPuma, producer."
2012,Best Rock Performance,Lonely Boy,"The Black Keys (Dan Auerbach, Patrick Carney), artist."
2012,Best Hard Rock/Metal Performance,Love Bites (So Do I),"Halestorm (Arejay Hale, Lzzy Hale, Joseph Hottinger, Josh Smith), artist."
2012,Best Rock Song,Lonely Boy,"Dan Auerbach, Patrick Carney& Danger Mouse, songwriters."
2012,Best Rock Album,El Camino,"The Black Keys (Dan Auerbach, Patrick Carney), artist. Tchad Blake & Kennie Takahashi, engineers/mixers. The Black Keys (Dan Auerbach, Patrick Carney) & Danger Mouse, producers."
2012,Best Alternative Music Album,Making Mirrors,"Gotye, artist. Francois Tetaz, engineer/mixer. Gotye, producer."
2012,Best R&B Performance,Climax,"Usher, artist."
2012,Best Traditional R&B Performance,Love On Top,"Beyoncé, artist."
2012,Best R&B Song,Adorn,"Miguel Jontel Pimentel, songwriter."
2012,Best Urban Contemporary Album,Channel Orange,"Frank Ocean, artist. Jeff Ellis & Frank Ocean, engineers/mixers. Om'mas Keith & Frank Ocean, producers."
2012,Best R&B Album,Black Radio,"Robert Glasper Experiment (Casey Benjamin, Chris Dave, Robert Glasper, Derrick Hodge), artist. Keith ""Qmillion"" Lewis, engineer/mixer."
2012,Best Rap Performance,N****s In Paris,"Jay-Z & Kanye West, artists."
